empleado_id,fecha,hora_inicio,hora_fin,tipo_turno,ubicacion,notas
E219,2024-06-04,18:56,02:56,Mañana,Oficina Central,
E076,2024-09-07,17:59,00:59,Mañana,Oficina Remota,Facilis minima minima.
E243,2025-03-01,09:36,17:36,Tarde,Oficina Remota,
E214,2024-09-26,05:34,12:34,Tarde,Planta de Producción,
E768,2024-05-11,08:13,16:13,Libre,Oficina Remota,
E1101,2024-07-25,07:05,13:05,Libre,Almacén,
E929,2024-10-02,19:14,02:14,Mañana,Almacén,Accusamus eum officiis hic.
E727,2024-10-27,16:16,23:16,Libre,Almacén,
E1011,2024-10-09,08:11,15:11,Noche,Almacén,
E938,2024-11-23,08:06,15:06,Noche,Oficina Central,
E1080,2024-10-22,00:00,08:00,Tarde,Planta de Producción,
E604,2024-06-10,16:52,23:52,Mañana,Oficina Central,
E002,2024-11-06,05:26,12:26,Libre,Planta de Producción,
E852,2024-04-29,05:55,13:55,Noche,Oficina Central,
E827,2024-06-21,03:25,10:25,Mañana,Oficina Remota,
E874,2024-04-23,04:44,11:44,Libre,Planta de Producción,
E408,2024-11-30,22:42,05:42,Libre,Oficina Remota,
E191,2024-09-20,09:47,16:47,Mañana,Oficina Remota,
E1054,2024-12-28,18:14,00:14,Noche,Oficina Central,
E820,2024-08-29,16:48,22:48,Noche,Planta de Producción,
E175,2024-09-08,15:58,21:58,Mañana,Oficina Remota,Voluptatibus voluptates quisquam tenetur mollitia.
E655,2024-09-19,19:23,01:23,Noche,Planta de Producción,
E525,2024-09-06,19:43,03:43,Tarde,Planta de Producción,
E154,2025-04-01,14:42,21:42,Libre,Planta de Producción,
E1187,2025-01-18,18:49,02:49,Tarde,Oficina Remota,
E091,2024-06-24,09:09,15:09,Mañana,Oficina Remota,
E470,2024-08-27,14:01,21:01,Libre,Planta de Producción,
E782,2024-10-19,21:10,03:10,Tarde,Oficina Central,
E907,2024-12-30,14:24,20:24,Libre,Oficina Central,
E673,2024-05-03,16:36,23:36,Tarde,Oficina Remota,
E1122,2024-10-07,04:59,12:59,Mañana,Planta de Producción,
E387,2025-04-07,09:47,16:47,Libre,Almacén,
E349,2024-08-02,16:44,22:44,Noche,Almacén,
E1136,2024-07-11,19:20,03:20,Noche,Planta de Producción,
E1167,2025-04-08,05:21,13:21,Tarde,Almacén,
E1065,2024-10-26,17:06,00:06,Noche,Planta de Producción,
E780,2024-07-30,15:41,23:41,Libre,Almacén,
E176,2024-04-30,18:02,02:02,Libre,Oficina Central,
E1152,2024-08-16,11:11,18:11,Tarde,Planta de Producción,
E233,2024-05-04,11:26,19:26,Libre,Oficina Central,
E777,2024-10-26,11:22,19:22,Libre,Oficina Central,
E074,2024-10-14,09:44,17:44,Mañana,Almacén,
E091,2025-01-01,13:31,21:31,Noche,Oficina Central,Necessitatibus qui omnis necessitatibus assumenda animi.
E739,2024-11-26,22:09,05:09,Libre,Almacén,
E645,2025-04-18,23:26,07:26,Mañana,Almacén,
E497,2024-09-26,17:26,23:26,Tarde,Planta de Producción,
E094,2024-09-28,10:46,17:46,Noche,Planta de Producción,
E486,2024-08-11,22:33,06:33,Libre,Planta de Producción,
E499,2024-05-27,15:28,21:28,Mañana,Oficina Central,
E611,2024-10-06,18:12,02:12,Tarde,Oficina Remota,
E113,2025-04-09,20:51,03:51,Libre,Oficina Central,
E608,2024-04-23,10:08,18:08,Tarde,Oficina Remota,
E467,2024-11-04,19:56,01:56,Libre,Oficina Central,
E709,2024-07-13,00:55,07:55,Mañana,Almacén,
E684,2025-02-24,03:39,10:39,Libre,Oficina Central,
E1138,2024-12-28,22:57,05:57,Tarde,Oficina Remota,
E257,2024-11-18,05:44,11:44,Tarde,Almacén,
E177,2024-10-10,02:42,08:42,Noche,Oficina Remota,Accusamus magni perspiciatis soluta reprehenderit qui.
E432,2024-11-21,05:58,12:58,Noche,Oficina Central,
E680,2024-10-22,03:21,09:21,Mañana,Almacén,
E022,2025-04-11,14:42,21:42,Libre,Almacén,
E664,2024-11-01,23:04,06:04,Tarde,Planta de Producción,
E1079,2024-09-08,11:32,18:32,Tarde,Oficina Remota,
E911,2025-01-25,11:42,19:42,Mañana,Oficina Remota,
E221,2025-04-14,17:57,01:57,Libre,Oficina Remota,Facere quaerat sapiente.
E769,2024-10-30,20:00,02:00,Libre,Planta de Producción,
E250,2024-08-08,16:43,22:43,Libre,Planta de Producción,Accusamus a aliquam.
E118,2024-07-03,10:51,16:51,Tarde,Planta de Producción,
E403,2024-06-21,11:47,18:47,Tarde,Planta de Producción,Quae optio id quam officia.
E443,2025-02-04,12:17,18:17,Tarde,Almacén,
E1109,2024-04-22,22:18,05:18,Libre,Almacén,
E666,2024-10-01,23:30,06:30,Noche,Planta de Producción,
E342,2024-07-07,15:09,21:09,Tarde,Oficina Central,
